# Format version: 1.5
# Report generated by Certitude W-2024.09-1 - 5682288 - 2024
# Report generated at 2026-2-13 14:33:22

# TopName:	work.control_unit

#s Status at 2026-2-13 14:33:22
#s 
#s Fault Model Phase (W-2024.09-1): Started on 2026-02-13 at 13:50:55, completed on 2026-02-13 at 13:51:20
#s Design status:
#s      0 Modules/Entities are not instantiated 
#s      0 Modules/Entities having faults are not instantiated 
#s Optimizer elaboration status : succeeded
#s      0 Modules/Entities elaboration failed
#s      0 Modules/Entities having faults elaboration failed
#s      0 Modules/Entities are undefined (black-boxes)
#s Fault Activation Phase: Started on 2026-02-13 at 13:51:24, completed on 2026-02-13 at 13:52:07
#s Fault Detection Phase: Started on 2026-02-13 at 13:52:10, completed on 2026-02-13 at 14:08:13
#s Metric computation: Not executed
#s Regression Phase: Not executed
#s 
#s Full design status
#s Faults injected in the design:
#s    414 Faults are injected in the design
#s    349 Faults are considered for status
#s      6 Faults are disabled by Certitude
#s      0 Faults are disabled by user
#s      0 Faults are not yet qualified
#s     10 Faults are dropped
#s 
#s      5 Faults are non-activated
#s     10 Faults are non-propagated
#s    318 Faults are detected
#s      0 Faults are non-detected

# Certitude configuration
# Config Type  Configuration Option Name                       Value 
PubConf        IncludePaths                                    input 
PubConf        InstrumentationDirectory                        /homedir04/mmohamed25/DT3_2026/project/workdir/control_unit_certitude_hdl_files 
PubConf        ReportFormat                                    text 
PubConf        Simulator                                       vcs 
PubConf        SimulatorBitWidth                               64 
PubConf        SupportMdaForConnectivityOnNonQualifiedBlocks   true 
PubConf        TopName                                         work.control_unit 
PubConf        VerdiInitCommand                                {debImport -top work.control_unit_tb -path . -simflow} 
PubConf        WaveDump                                        true 

# The following configuration options require model to be run to be effective:
#  Configuration Option Name  Current Value  New Value  


# Testcase statistics
# Test 	 Run 	 Activated 	 # of runs in 	 Propagated 	 Detected 	 Test
#   ID 	 time 	 Faults 	 Detection 	 Faults 	 Faults 	 name
T1 	 00:00:09.18	 337	 327	 318	 318	 1

# File
#	ID	Name
File	1	/homedir04/mmohamed25/DT3_2026/project/workdir/input/control_unit.sv
File	2	/homedir04/mmohamed25/DT3_2026/project/workdir/input/audioport.svh

# Hierarchical Instance Name Identifier
# ID	Hierarchical
# ..	  Instance
# ..	    Name
H1	work.control_unit

# Fault
# ID	Type	Status	E/I	Formal	Line	HINI	Module	File
# ..	....	......	...	.Port.	....	....	.Name.	.ID.
73	DeadA	D	-	-	154	H1	control_unit	1
74	Oper	D	-	-	154	H1	control_unit	1
75	Oper	D	-	-	154	H1	control_unit	1
76	Oper	D	-	-	154	H1	control_unit	1
77	Oper	D	-	-	154	H1	control_unit	1
78	DeadA	D	-	-	162	H1	control_unit	1
79	BitF	D	-	-	162	H1	control_unit	1
80	DeadA	D	-	-	163	H1	control_unit	1
81	BitF	DBC	I:23	-	163	H1	control_unit	1
82	DeadA	D	-	-	164	H1	control_unit	1
83	BitF	D	-	-	164	H1	control_unit	1
84	DeadA	D	-	-	165	H1	control_unit	1
85	BitF	D	-	-	165	H1	control_unit	1
86	DeadA	D	-	-	166	H1	control_unit	1
87	BitF	DBC	I:29	-	166	H1	control_unit	1
88	DeadA	D	-	-	167	H1	control_unit	1
89	BitF	DBC	I:363	-	167	H1	control_unit	1
90	CondF	D	-	-	169	H1	control_unit	1
91	CondT	D	-	-	169	H1	control_unit	1
92	NCond	D	-	-	169	H1	control_unit	1
93	Oper	D	-	-	169	H1	control_unit	1
94	Oper	D	-	-	169	H1	control_unit	1
95	CasID	D	I:95	-	171	H1	control_unit	1
96	DeadA	DBC	I:95	-	171	H1	control_unit	1
97	Oper	D	-	-	171	H1	control_unit	1
98	CasID	DBC	I:22	-	172	H1	control_unit	1
99	DeadA	DBC	I:22	-	172	H1	control_unit	1
100	BitF	DBC	I:22	-	172	H1	control_unit	1
101	CasID	D	I:101	-	173	H1	control_unit	1
102	DeadA	DBC	I:101	-	173	H1	control_unit	1
103	BitF	D	-	-	173	H1	control_unit	1
104	CasID	D	I:104	-	174	H1	control_unit	1
105	DeadA	DBC	I:104	-	174	H1	control_unit	1
106	BitF	D	-	-	174	H1	control_unit	1
107	CasID	DBC	I:28	-	175	H1	control_unit	1
108	DeadA	DBC	I:28	-	175	H1	control_unit	1
109	BitF	DBC	I:28	-	175	H1	control_unit	1
110	CasID	D	I:110	-	176	H1	control_unit	1
111	DeadA	DBC	I:110	-	176	H1	control_unit	1
112	BitF	D	-	-	176	H1	control_unit	1
113	CondF	DBC	-	-	186	H1	control_unit	1
114	CondT	D	-	-	186	H1	control_unit	1
115	NCond	DBC	-	-	186	H1	control_unit	1
116	ElseD	DBC	-	-	188	H1	control_unit	1
117	DeadA	DBC	-	-	187	H1	control_unit	1
118	BitF	DBC	-	-	187	H1	control_unit	1
119	CondF	D	-	-	188	H1	control_unit	1
